CaseNumber,DateOfRequestReceived,Division-Branch,ApplicantCategory,Outcomes,ExemptionsApplied,DateOfResponseSent,DaysTakenToComplete,RequestWording
2061,2016-06-27,HR,Member of the Public,All provided,n/a,2017-07-20,17,"What number of staff in your organisation are paid through umbrella companies? What number of staff in your organisation are hired through recruitment companies? What number of staff in your organisation are on temporary contracts? Which recruitment agencies does your organisation use? What number of staff in your organisation are paid through the following companies: Parasol Ltd?, Danbro Ltd? Giant?Which other companies are staff employed in your organisation paid through, and what is the number of staff per company?"
1989,2017-01-05,Operations,Member of the Public,Part withheld,"s31, s38, s40",2017-03-02,40,"I am writing to make a Freedom of Information Request. I wish to request details of all monthly records of non-compliance (and the enforcement action taken) by Official Veterinarians, as reported on the FSA's Animal Welfare Database, for between April 2014 - March 2016.I am aware that this information has already been released in a previous FOI request. However, the names and locations of the slaughterhouses concerned were withheld.For the purpose of our analysis, I would like to request that the slaughterhouse names be anonymised using what the ICO calls deterministic modification. In other words each slaughterhouse could be given a code eg A1 and by using a simple control and replace function all instances of that slaughterhouse appearing on the database could be anonymised.This would take no more than ten seconds per slaughterhouse and as there are around 250 of them it should take no longer than 40 minutes per year or 2 hours for the entire 3 years that we've requested. This is well within the statutory 20 hour period.I would also like to request that you disclose the county in which the slaughterhouse is located. As there are multiple slaughterhouses in each county there is no risk of the individual slaughterhouse being identified."
1990,2017-01-06,Finance,Member of the Public,All provided,n/a,2017-01-30,16,"Who provides the organisations BACS payments and Direct Debit collection software? Please provide a list of your suppliers of the above software. How you came to the decision to choose these companies? Are these solution(s) hosted on premise or cloud hosted? Please provide expenditure on computer software used for Bacs payment processing and Direct Debit collection. For financial years 2014/2015 and 2015/2016. When does your current contract(s) with BACs payment and direct debit collection software expire? Will this service(s) be tendered and if so where? What is the total value of your current BACS payment and Direct Debit collection software contract(s) and over what period? With whom does the organisation hold its primary bank account? Does the organisation, acting as a Bureau, provide Bacs processing on behalf on any other organisation? What payments types does the organisation use? (e.g Bacs (Direct Credit), Direct Debit, Faster Payments, etc.). Who is the person responsible for BACS processing and Direct Debit collection software?o Nameo Positiono Telephone Numbero Email"
1991,2017-01-06,Resilience Team,What do they know,Part withheld,"s40, s31",2017-02-03,20,Disaster recovery/business continuity plan for each section/department.
1992,2017-01-11,Hygiene Ratings,What do they know,All provided,n/a,2017-02-07,19,1) What is the mechanism by which local authorities upload and update food hygiene report data with the FSA?2) The documentation relating to that interface and example data exchanges inline with the Government strategy regarding APIsNote: This is concerned with the sending of data to the food standards agency not the reading of that data as is so well handled by the excellent food standards rating API
1993,2017-01-13,CER,Business,All provided,n/a,2017-01-18,3,"1. Please provide the number of staff at Grade 6 in the Food Standards Agency.2. Please provide the names of all roles/grades senior to Grade 6 at the Food Standards Agency, along with the number of personnel at each role/grade"
1994,2017-01-26,Policy ,Media,Part withheld,s35,2017-04-24,60,Please provide copies of all communications sent and received by Steve Wearne between January 23 and today (up to the time of this email) which relate in any way to the agency?s ?Go for Gold? campaign and the issues raised by the campaign.
1998,2017-01-27,SSRC,Member of the Public,Advice and Assistance provided,n/a,,4,Please could you provide me with a list of members of the Food Standard Agency's 'Expert Advisory Group'.
1995,2017-01-31,Hygiene Ratings,What do they know,All provided,n/a,2017-03-27,10,"Clarification sought 03/02/2017Please could you provide me in csv or pdf format a full list of Hotel, Restaurant and Hospitality outlets in the West Yorkshire area.In particular Please provide the following data.1 - Establishment Name 2 - Named Point of contact at the Establishment 3 - Email address for named contact 4 - Full postal address 5 - Telephone Number 6 - website address if known 7 - Food Hygiene rating based on the standard 5 star systemClarification rec'd 27/02/2017The type of establishments that we require are as followed - Hotel / Bed & Breakfasts / Guest Houses - Restaurants - Pub / Bar / Night Clubs "
1997,2017-02-06,Operations,Industry,Part withheld,"s31, s38, s40",2017-04-03,20,"Given the concerns we have over some of the entries in the vets? daybooks, I am writing to request the 'e-welfare' data logged by vets and MHIs for all slaughterhouses in England and Wales (that use the system) between August 1st 2016 and February 1st 2017.***********CLARIFICATION RECEIVED 16/02/2017******************Vets at some slaughterhouses no longer write up their welfare notes in their daybooks but instead complete their written evidence online each day. Some refer to it as ?e-welfare?; others to ?welfare online'; others to the form number 'Wel 31A'. We are requesting these written notes and, since they are located on a central system, we understand that the information should be simple to retrieve.***********CLARIFICATION RECEIVED 06/03/2017******************Confirmed that it is the non-compliance data from the database that they are requesting. "
