CaseNumber,DateOfRequestReceived,Division-Branch,ApplicantCategory,Outcomes,ExemptionsApplied,DateOfResponseSent,DaysTakenToComplete,RequestWording
2163,2018-01-02,HR,Other,Not held,N/A,2018-01-26,18,"We would like to hear back from each department independently, and any department refusing to supply the following information needs to supply the reason why the information cannot be given.We are writing with civil jurisdiction using the Freedom of Information Act 2000 to make a Freedom of Information request.We want to collect and collate data from each department of government regarding both the number of persons, and their wage or pension earnings (1977 to date), who have been;A: Accused with evidence of any sexual misconduct with a minor, B: Investigated by any government or police department for any sexual misconduct with a minor,C: Convicted of any sexual misconduct against a minor,including online grooming or misconduct with a minor, making, searching for, or distributing inappropriate images of minors."
2164,2018-01-02,"Openness, Data and Digital",Media,All provided,N/A,2018-01-30,20,"Please provide a list of all facilities for Food Standards Agency staff members to make written feedback or suggestions to senior management. As general examples, this answer could include (but would not be limited to) physical feedback systems like suggestion boxes, and electronic resources such as internal intranet forums (including 'rumour mills'), and dedicated feedback email addresses.?"
2165,2018-01-02,Operations,Member of Public,Part withheld,s12; s22,2018-01-29,19,"i, For the year of 2017 (and 2016 if time permits), data/figures for the numbers of poultry, cattle, sheep , goats & pig carcasses / meat declared unfit for human consumption in FSA approved meat establishments in England, Wales, Northern Ireland  ii. For each instance where carcasses / meat were declared unfit for human consumption , the reason, i.e. the condition that prompted the decision to reject the carcass or meat from the human food chain "
2166,2018-01-08,Operations,Member of Public,Not held,N/A,2018-01-12,4,"For each of= the years, 2017 and 2016, in England, Wales - and, if available - NI  1, The number of meat products / carcasses tested by the FSA (or others such as FBO's - and where the results have subsequently been shared with FSA) found to be positive for salmonella 2, For each positive result, details of the species (eg cattle, pig, poultry , lamb etc)  or product (eg minced beef)  Related:3, For the same period, the number of carcasses / meat products found via further testing to be positive with Salmonella Typhimurium or Salmonella Enteritidis, with details of the product(s) comcerned"
2167,2018-01-05,FOI Team,Media,Not held,N/A,2018-01-24,13,"How many times has the Food Standards Agency been defrauded in each of the last five financial years (including the current year to 05/01/2018? Please state the number of incidents, if anyas well as the amount of money lost in each case, and a log (redacted where necessary) describing what happened in each incident.If it is not possible to answer this request in its entirety due to one or more questions exceeding the cost of compliance limits identified in Section 12, please answer the ones that do not exceed the limits and disregard the ones that do. If it is not possible to provide any of the information requested due to the request exceeding the cost of compliance limits identified in Section 12, please provide advice and assistance, under your Section 16 obligations, as to how I can refine my request to be included in the scope of the Act.In any case, if you can identify ways that my request could be refined please provide further advice and assistance to indicate this."
2168,2018-01-10,FSA IT,Member of Public,All provided,N/A,2018-02-07,20,"I want to make a Freedom of Information request, could you please send me the following information with regards to the organisation?s Mobile Phones contract. You may have received the same request in the past and this information sent has now expired and I require an update as soon as possible for the following information: If there is more than one provider please split all the information including the annual average spend, number of users, duration, contract dates and internal contact details. 1.       Network Provider(s) - Please provide me with the network provider name e.g. EE, Telefonica, Vodafone, Three2.       Annual Average Spend- Can you please provide me with the average annual spend over the 3 years. If this is a new contract can you please provide the estimated annual spend.3.       Number of Connections- Number of connections for each network provider.4.       Duration of the contract- please state if the contract also includes contract extensions for each provider.5.       Contract Start Date- please can you provide me with the start date of the signed agreement. Please do not provide me with the framework contract date I require the contract dates of the signed agreement.6.       Contract Expiry Date- please can you provide me with the expiry date of the signed agreement. Please do not provide me with the framework contract date I require the contract dates of the signed agreement. If the contract is rolling please state.7.       Contract Review Date- Please can you provide me with a date on when the organisation plans to review this contract.8.       The person within the organisation responsible for this particular contract. Can you send me the full contact details Contact Name, Job Title, Contact Number and direct email address for each network provider? If full contact details cannot be provided please send me their actual job title. If the mobile phone contract is provided by a managed contract please provide me with the actual name of the network provider along with the number of connections and the internal contact from within the organisation responsible for this contract. Please can you provide me with the latest information- If the organisations are currently out to tender please can you also state the approx. date of the award along with the information above. Also if the contract in the response has expired / rolling please can you provide me with further information if available of the organisation's plans going forward with regards to mobiles and the current status? If this contract was awarded within the past three months can you please provide me with a shortlist of suppliers that bid on the contract?"
2169,2018-01-15,Imports Team,Other,All provided,N/A,2018-02-12,20,"Could I put in a separate FOI for the same data for poultry (fresh, frozen and poultry products) from Thailand? [FOI 2156 refers, relevant extract as follows:- Please could you provide me with the number of samples ......... tested under this programme the date the consignment was tested the level of antimicrobial; other veterinary medicine residue; chemical; dye or bacteria (salmonella or E.coli) found in each sample whether the consignment was rejected as a result of the sampling Please provide this information for each of the past 5 years (broken down by individual year)"
2170,2018-01-18,FSA Wales,Industry,Part withheld,"s22, s40",2018-02-14,19,"I have found a copy of the University of Liverpool/FERA Report from November 2015 which seems to ask more questions than it answers.However I cannot find anything since November 2015.I have been asked to find out (with a FOI request if necessary):a) What is the current state of play is on the project,b) Copies of all relevant reports/papers relating to the project, andc) The cost of the University of Liverpool/FERA study"
2171,2018-01-22,Openness Team,Member of Public,Not held,N/A,2018-02-14,15,"Please send me all of the information you or your organisation hold that pertains to, or implicates, any Freemason to any alleged crime, or crime. Please send me all of the information you hold about me using the contact and personal details provided."
2152,2018-01-08,RoF,Member of the Public,All provided,N/A,2018-03-01,39,"Please can you provide me the details of the PR firms including [a PR firm], used by the FSA as part of the Regulating our Future programme. How many hours work have they completed for the FSA on RoF? How much has the FSA paid for their services? "
